session_id,candidate_name,event_type,timestamp
S001,Tyler Jones,face_detected,2026-09-15 16:34:27
S001,Tyler Jones,tab_switched,2026-09-15 14:10:46
S001,Tyler Jones,face_absent,2026-09-15 12:41:11
S001,Tyler Jones,question_answered,2026-09-15 02:01:09
S001,Tyler Jones,focus_loss,2026-09-15 12:04:31
S001,Tyler Jones,face_detected,2026-09-15 03:02:38
S001,Tyler Jones,question_answered,2026-09-15 01:54:06
S001,Tyler Jones,face_absent,2026-09-14 23:50:40
S001,Tyler Jones,tab_switched,2026-09-14 17:55:52
S001,Tyler Jones,face_detected,2026-09-15 14:00:01
S002,Rita Avery,question_answered,2026-09-14 19:50:28
S002,Rita Avery,question_answered,2026-09-14 23:24:02
S002,Rita Avery,face_detected,2026-09-15 07:38:47
S002,Rita Avery,question_answered,2026-09-15 14:26:41
S002,Rita Avery,question_answered,2026-09-14 23:12:58
S002,Rita Avery,tab_switched,2026-09-15 11:15:20
S002,Rita Avery,face_absent,2026-09-15 08:09:37
S002,Rita Avery,question_answered,2026-09-15 01:44:33
S002,Rita Avery,question_answered,2026-09-15 01:46:41
S002,Rita Avery,tab_switched,2026-09-15 14:22:09
S003,Daniel Higgins,question_answered,2026-09-15 07:52:08
S003,Daniel Higgins,face_absent,2026-09-14 18:08:17
S003,Daniel Higgins,tab_switched,2026-09-14 22:11:02
S003,Daniel Higgins,focus_loss,2026-09-15 04:24:04
S003,Daniel Higgins,focus_loss,2026-09-15 05:25:19
S003,Daniel Higgins,tab_switched,2026-09-14 19:25:00
S003,Daniel Higgins,focus_loss,2026-09-15 08:12:29
S003,Daniel Higgins,face_detected,2026-09-14 21:36:24
S003,Daniel Higgins,focus_loss,2026-09-15 01:09:29
S003,Daniel Higgins,question_answered,2026-09-15 07:38:38
S004,Shannon Gentry,tab_switched,2026-09-15 03:42:12
S004,Shannon Gentry,tab_switched,2026-09-14 21:31:09
S004,Shannon Gentry,face_absent,2026-09-15 16:20:37
S004,Shannon Gentry,tab_switched,2026-09-15 10:20:59
S004,Shannon Gentry,face_detected,2026-09-15 09:12:37
S004,Shannon Gentry,face_absent,2026-09-15 15:43:33
S004,Shannon Gentry,question_answered,2026-09-15 01:00:02
S004,Shannon Gentry,face_absent,2026-09-14 18:57:49
S004,Shannon Gentry,tab_switched,2026-09-15 15:34:04
S004,Shannon Gentry,focus_loss,2026-09-15 07:18:42
S005,Leroy Kelly,face_detected,2026-09-15 04:56:45
S005,Leroy Kelly,face_absent,2026-09-15 09:06:53
S005,Leroy Kelly,focus_loss,2026-09-15 12:27:57
S005,Leroy Kelly,tab_switched,2026-09-15 02:22:56
S005,Leroy Kelly,question_answered,2026-09-15 10:19:22
S005,Leroy Kelly,face_detected,2026-09-15 10:17:31
S005,Leroy Kelly,focus_loss,2026-09-15 01:05:22
S005,Leroy Kelly,tab_switched,2026-09-15 16:06:37
S005,Leroy Kelly,tab_switched,2026-09-15 03:32:05
S005,Leroy Kelly,face_detected,2026-09-15 09:52:36
S006,Megan White,face_detected,2026-09-15 02:25:13
S006,Megan White,face_detected,2026-09-15 02:44:34
S006,Megan White,focus_loss,2026-09-15 03:11:04
S006,Megan White,tab_switched,2026-09-15 03:04:31
S006,Megan White,tab_switched,2026-09-14 23:43:54
S006,Megan White,focus_loss,2026-09-15 05:45:13
S006,Megan White,face_detected,2026-09-14 22:27:45
S006,Megan White,focus_loss,2026-09-14 18:17:50
S006,Megan White,focus_loss,2026-09-15 14:50:11
S006,Megan White,face_absent,2026-09-15 01:28:45
S007,Charles Dorsey,question_answered,2026-09-14 22:33:49
S007,Charles Dorsey,focus_loss,2026-09-15 09:59:36
S007,Charles Dorsey,question_answered,2026-09-15 03:29:28
S007,Charles Dorsey,tab_switched,2026-09-15 06:55:09
S007,Charles Dorsey,face_absent,2026-09-15 03:25:26
S007,Charles Dorsey,focus_loss,2026-09-15 15:41:09
S007,Charles Dorsey,question_answered,2026-09-15 01:57:32
S007,Charles Dorsey,tab_switched,2026-09-15 07:57:08
S007,Charles Dorsey,tab_switched,2026-09-15 13:00:46
S007,Charles Dorsey,face_detected,2026-09-15 05:36:56
